Ticker,Holding,Holding Currency,Date,Type,Quantity,Price,Local Value,Currency Pair,Exchange Rate,Fee Currency,Fee,Value (GBP)
VEDL.NYSE,Vedanta Ltd - ADR,USD,11/07/2019,Buy,2,9.69,19.38,USD/GBP,0.7983,GBP,0.46,15.93
OGZD.LSE,Gazprom PJSC,USD,12/07/2019,Buy,3,7.782,23.346,USD/GBP,0.7868,GBP,1.75,20.12
LUMI.ST,Lundin Mining Corporation,SEK,05/08/2019,Buy,10,43.66,436.6,SEK/GBP,0.0854,GBP,3.7,40.99
LUMI.ST,Lundin Mining Corporation,SEK,10/03/2020,Buy,7,42.7,298.9,SEK/GBP,0.0811,GBP,3.51,27.75
OGZD.LSE,Gazprom PJSC,USD,10/03/2020,Buy,8,4.936,39.488,USD/GBP,0.7686,GBP,1.75,32.1
MEOH.NASDAQ,Methanex Corporation,USD,15/04/2020,Buy,15,13.15,197.25,USD/GBP,0.7987,GBP,0.49,158.03
LUMI.ST,Lundin Mining Corporation,SEK,15/04/2020,Buy,23,41.6,956.8,SEK/GBP,0.0798,GBP,3.53,79.88
OGZD.LSE,Gazprom PJSC,USD,15/04/2020,Buy,39,4.859,189.501,USD/GBP,0.8005,GBP,1.77,153.47
VEDL.NYSE,Vedanta Ltd - ADR,USD,15/04/2020,Buy,33,4.06,133.98,USD/GBP,0.7985,GBP,0.55,107.53
VEDL.NYSE,Vedanta Ltd - ADR,USD,15/04/2020,Buy,5,4.05,20.25,USD/GBP,0.7987,GBP,0.46,16.63
HUN2.F,Beijing Enterprises Water Group Limited,EUR,17/04/2020,Buy,200,0.36,72,EUR/GBP,0.8729,GBP,6.61,69.46
OGZD.LSE,Gazprom PJSC,USD,09/09/2020,Buy,50,4.559,227.95,USD/GBP,0.7751,GBP,1.77,178.45
VEDL.NYSE,Vedanta Ltd - ADR,USD,09/10/2020,Buy,4,6.08,24.32,USD/GBP,0.7687,GBP,0.46,19.15
LUMI.ST,Lundin Mining Corporation,SEK,20/04/2021,Sell,-40,104.1,-4164,SEK/GBP,0.085,GBP,3.98,-349.96
MEOH.NASDAQ,Methanex Corporation,USD,10/05/2021,Sell,-15,40,-600,USD/GBP,0.7056,GBP,0.89,-422.47
BABA.NYSE,Alibaba Group Holding Ltd,USD,13/05/2021,Buy,2,209.5,419,USD/GBP,0.7125,GBP,0.74,299.28
INTC.NASDAQ,Intel Corporation,USD,13/05/2021,Buy,3,53.63,160.89,USD/GBP,0.7128,GBP,0.55,115.23
VEDL.NYSE,Vedanta Ltd - ADR,USD,13/05/2021,Sell,-44,15,-660,USD/GBP,0.7113,GBP,1.03,-468.43
BABA.NYSE,Alibaba Group Holding Ltd,USD,17/05/2021,Buy,1,209.79,209.79,USD/GBP,0.7088,GBP,0.58,149.28
INTC.NASDAQ,Intel Corporation,USD,17/05/2021,Buy,2,55.25,110.5,USD/GBP,0.7088,GBP,0.52,78.84
INTC.NASDAQ,Intel Corporation,USD,03/06/2021,Buy,3,56.44,169.32,USD/GBP,0.7094,GBP,0.56,120.68
BABA.NYSE,Alibaba Group Holding Ltd,USD,01/07/2021,Buy,1,226.22,226.22,USD/GBP,0.7247,GBP,0.59,164.53
INTC.NASDAQ,Intel Corporation,USD,01/07/2021,Buy,1,56.43,56.43,USD/GBP,0.7245,GBP,0.47,41.35
BABA.NYSE,Alibaba Group Holding Ltd,USD,30/07/2021,Buy,1,193.98,193.98,USD/GBP,0.7179,GBP,0.57,139.83
INTC.NASDAQ,Intel Corporation,USD,30/07/2021,Buy,2,53.72,107.44,USD/GBP,0.718,GBP,0.52,77.66
BABA.NYSE,Alibaba Group Holding Ltd,USD,27/08/2021,Buy,2,159.15,318.3,USD/GBP,0.7262,GBP,0.67,231.82
BABA.NYSE,Alibaba Group Holding Ltd,USD,29/09/2021,Buy,1,149.98,149.98,USD/GBP,0.7442,GBP,0.54,112.16
INTC.NASDAQ,Intel Corporation,USD,29/09/2021,Buy,1,53.7,53.7,USD/GBP,0.7442,GBP,0.47,40.43
BABA.NYSE,Alibaba Group Holding Ltd,USD,29/10/2021,Buy,1,165.65,165.65,USD/GBP,0.7308,GBP,0.54,121.6
INTC.NASDAQ,Intel Corporation,USD,29/10/2021,Buy,3,48.99,146.97,USD/GBP,0.7307,GBP,0.54,107.93
BABA.NYSE,Alibaba Group Holding Ltd,USD,29/11/2021,Buy,2,132.2,264.4,USD/GBP,0.7521,GBP,0.2,199.06
INTC.NASDAQ,Intel Corporation,USD,29/11/2021,Buy,1,49.105,49.105,USD/GBP,0.7521,GBP,0.04,36.97
BABA.NYSE,Alibaba Group Holding Ltd,USD,29/12/2021,Buy,2,112.26,224.52,USD/GBP,0.7414,GBP,0.84,167.3
BABA.NYSE,Alibaba Group Holding Ltd,USD,28/01/2022,Buy,3,112.61,337.83,USD/GBP,0.7453,GBP,1.05,252.83
INTC.NASDAQ,Intel Corporation,USD,28/01/2022,Buy,3,47.655,142.965,USD/GBP,0.7451,GBP,0.69,107.21
OGZD.LSE,Gazprom PJSC,USD,23/02/2022,Sell,-100,6.898,-689.8,GBP/USD,1.3605,GBP,3.52,-503.5
BABA.NYSE,Alibaba Group Holding Ltd,USD,24/02/2022,Buy,4,103.62,414.48,USD/GBP,0.7481,GBP,1.2,311.27
INTC.NASDAQ,Intel Corporation,USD,24/02/2022,Buy,5,45.155,225.775,USD/GBP,0.7482,GBP,0.84,169.76
BABA.NYSE,Alibaba Group Holding Ltd,USD,29/04/2022,Buy,2,97.43,194.86,USD/GBP,0.795,GBP,0.81,155.72
INTC.NASDAQ,Intel Corporation,USD,29/04/2022,Buy,5,43.98,219.9,USD/GBP,0.795,GBP,0.86,175.68
BABA.NYSE,Alibaba Group Holding Ltd,USD,08/06/2022,Buy,2,108.97,217.94,USD/GBP,0.7971,GBP,0.86,174.58
INTC.NASDAQ,Intel Corporation,USD,08/06/2022,Buy,7,41.85,292.95,USD/GBP,0.797,GBP,1.01,234.49
INTC.NASDAQ,Intel Corporation,USD,28/06/2022,Buy,9,38.61,347.49,USD/GBP,0.8194,GBP,1.14,285.87
INTC.NASDAQ,Intel Corporation,USD,04/08/2022,Buy,11,35.47,390.17,USD/GBP,0.8227,GBP,1.22,322.21
INTC.NASDAQ,Intel Corporation,USD,31/01/2023,Buy,13,28.12,365.56,USD/GBP,0.8118,GBP,1.6,298.36
INTC.NASDAQ,Intel Corporation,USD,06/09/2024,Buy,7,18.78,131.46,USD/GBP,0.814,GBP,2.54,109.55
ADM.NYSE,Archer-Daniels-Midland Company,USD,08/01/2025,Buy,5,49.86,249.3,USD/GBP,0.8113,GBP,2.17,204.43
INTC.NASDAQ,Intel Corporation,USD,08/01/2025,Buy,20,19.85,397,USD/GBP,0.8112,GBP,2.47,324.52
FLOW.AS,Flow Traders BV,EUR,09/01/2025,Buy,20,23.44,468.8,EUR/GBP,0.8454,GBP,5.1,401.42
ADM.NYSE,Archer-Daniels-Midland Company,USD,05/02/2025,Buy,5,46.28,231.4,GBP/USD,1.2516,GBP,2.13,187.01
INTC.NASDAQ,Intel Corporation,USD,05/02/2025,Buy,14,19.61,274.54,GBP/USD,1.2514,GBP,2.22,221.61
FLOW.AS,Flow Traders BV,EUR,03/03/2025,Buy,10,25.58,255.8,GBP/EUR,1.2109,GBP,4.59,215.84
INTC.NASDAQ,Intel Corporation,USD,03/03/2025,Buy,15,24.395,365.925,GBP/USD,1.2714,GBP,2.37,290.18
INTC.NASDAQ,Intel Corporation,USD,31/03/2025,Buy,15,22.355,335.325,GBP/USD,1.291,GBP,2.33,262.07
GLEN.LSE,Glencore PLC,GBP,07/04/2025,Buy,100,2.288,228.8,GBP/GBP,1,GBP,2.75,231.55
FLOW.AS,Flow Traders BV,EUR,25/04/2025,Buy,15,24.16,362.4,GBP/EUR,1.1721,GBP,4.96,314.15
INTC.NASDAQ,Intel Corporation,USD,25/04/2025,Buy,12,19.6899,236.2788,GBP/USD,1.3318,GBP,2.15,179.56
FLOW.AS,Flow Traders BV,EUR,04/07/2025,Buy,15,26.92,403.8,EUR/GBP,0.86311,EUR,3,351.11
INTC.NASDAQ,Intel Corporation,USD,08/07/2025,Buy,19,23.4293,445.1567,USD/GBP,0.7357,GBP,0.74,328.24
TOTAL,,,,,,,,,,,,7488.34